C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C12,C13,C15,C16,C20,C21,C22,C23,C24,C25,C27,C28,C29,C30,C33,C40,C46,C52,C54,C59,C68,C69,C80
0.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11793842299999757,0.0,16.858099184,0.0,0.39104166700000004,6.0,5.0,0.23636872799999942,6.937121212000007,0.0,9.0,0.0,2.0,3.2840796429999997,0.0,0.0,3.0,13.0,0.0,0.0,0.0,0.0,0.700234788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.0,22.8290664,0.0,0.956945208,0.0,2.0,4.0,2.3416490900000118,0.0,0.0,0.0,0.727679358,0.94542156,0.0,1.307692308000003,3.605253195000005,1.1014782999999906,0.0,0.0,1.0,0.0,0.807879293,0.0,1.0,0.0,0.0,0.583349560000002,0.0,0.0,0.0,0.0,0.0
5.235038298,0.0,8.873131914000009,0.718571428904762,0.40194520800000066,2.0,4.7626859999999995,0.46252961056965625,2.4907142309800276,0.0,2.0,0.008703704,1.0,1.0,0.0,0.806702326000003,1.774369776000011,2.3085642559999906,0.0,0.0,0.2887984649999999,0.8943809520000092,0.0,0.0,0.0,0.062626263,0.8864198728180703,0.8085119535607035,0.0,1.6305608329999992,0.0,0.0,1.378818558
5.0,1.153678992,24.0,0.0,0.0,9.411922798999992,0.9481152620000004,0.888021423,5.1123280450000115,0.267884199,0.723547656,0.0,11.0,2.648613886,0.0,0.688079004,11.809796777000034,10.0,0.0,1.7872619049999998,1.6246480920000015,0.0,1.0,0.0,1.081820513,0.0,0.37138451881807044,1.29732505,8.841666667000002,0.0,0.0,0.0,0.0
4.742084006999999,0.0,16.734569590000003,0.8975702079047619,0.8174213980000007,0.71547619,3.587930803999999,3.0,9.10773224500001,0.0,0.0,0.0,0.576049663,3.987927550000002,0.0,0.0,2.475133427000034,3.6825662719999896,0.0,0.0,0.0,0.0,1.6751331560000002,0.0,0.0,7.626612369,0.6031930969999999,0.0,0.0,0.3026365729999993,15.73044275,0.0,0.0
4.0,0.3943624340000001,23.45372077,18.92249053,0.8964690170000007,20.0,0.6539435909999991,0.49937981,1.75708855,0.0,6.150046296,0.0,0.0,3.613008459000002,0.0,0.2943184190000033,12.664507115000035,6.9823299469999895,0.0,0.0,3.0,0.0,1.240009575,0.0,0.0,0.0,0.0,0.0,0.6648809529523827,0.0,0.0,0.0,0.679435788
4.335248744999998,3.0,23.891154326,6.7556127309047636,1.0,25.85972407,1.0,0.0,5.0,0.0,0.0,0.007638889,1.2119155260000019,1.774161972,0.0,0.791905248,9.383659055000034,2.851896296,2.677916667,0.0,0.5852797019999997,0.0,0.986356797,1.0,3.892761396,0.282281746,0.366051153,0.332373867,0.0,0.0,0.092592593,0.0,0.0
1.495233971,0.0,13.215707385999998,0.0,0.5855303720000009,2.9682261399999996,4.195092641,8.360953926,0.5499664640000104,0.184285714,9.716862373000001,0.0,0.32899531,1.0,0.0,0.0,1.668959055,3.875358385,0.0,0.398560606,0.093333333,0.0,3.0,0.0,0.0,9.0,0.0,0.0,5.987142857000001,0.0,0.0,0.0,0.0
0.0,0.0,11.4519544,0.0,0.0,5.123853846000001,0.0,1.0,4.21268056,0.0,0.269237223000001,0.0,0.0,0.8554842650000021,0.0,0.0,11.90638468,4.0,0.401386166,0.0,4.0,0.0,0.547746032,2.152274051,0.0,0.0,0.807024772,0.62291554,0.29440476295238294,0.086277778,0.0,0.24905303000000012,0.256589355
11.0,2.6746917989999996,45.0,0.0,0.0,0.0,0.0,16.973214009,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26172291999999964,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.8131130950000003,13.0,0.0
0.0,0.0,19.96686874,0.0,1.1,0.0,2.715448704,0.0,0.0,0.0,0.001111111,0.0,0.582033679,0.0,0.0,0.0,9.370314813999991,5.896365812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.37800592499999996,0.0,0.0,0.0
3.4294316320000005,0.445195538,27.83626685,0.0,0.0,8.230292629293883,8.0,0.678853896,3.182576237,5.834634139000022,5.822303962000013,0.010416667,0.40113986,1.2373291720000008,0.0,0.55284719,2.593246805,0.0,2.3984789480000006,0.468968254,0.0,0.0,0.5840619600000004,0.0,1.8019187290000038,0.31459638499999987,0.0,4.0587731,3.987142856999758,0.761925024000005,0.0,0.6222222222222222,2.2013461309999998
0.8947947040000017,0.0,8.522508360000005,7.190248210904761,0.131904762,7.869348854706123,1.349825943,3.0,4.0,0.0,1.793297935000011,0.0,0.0,0.6965365230000009,0.0,3.0,1.0,3.2077806499999997,0.0,0.0,1.4854452220000027,0.0,0.12878545000000116,0.0,2.412888889,0.0,0.0,0.0,0.1619047619047619,0.0,0.0,0.0,0.0
5.413474116,0.0,35.0,6.0,4.0,12.0,5.0,0.911792777,4.0,0.0,0.0,0.0,13.0,10.0,0.0,0.0,12.885565416,7.0,0.0,0.0,0.9968091340000196,0.0,0.0,0.351666667,0.0,0.0,0.4867657989999997,0.0,0.0,0.0,0.458906996,0.0,0.0
10.819646672000001,0.780605672,37.0,0.0,1.0285533909999822,10.0,8.0,4.0,0.0,0.0,0.0,0.0,0.551715399,8.181338235000002,0.0,1.0,15.538923378,0.0,0.0,0.0,1.289590548,0.0,0.0,0.0,2.0,0.0,0.0,2.702364735,0.0,0.0,8.0,4.0,0.794102573
0.0,0.682281746,19.17535977368184,0.251309524,0.0,37.36833333,1.510492688000016,0.803236080986991,3.663355575,0.0,0.201443376,0.0,1.50026788,1.417294002,0.0,0.037089646,4.765119861279087,9.926347784000006,0.0,0.283602912,1.7534137250000241,0.0,0.0,0.0,0.044444444,9.71445146547012e-17,1.046854618,0.5686010119999996,0.0,0.7150821070000049,0.0,0.0,0.0
